11.6686913102
         52052 function calls (50051 primitive calls) in 2.817 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      273    0.001    0.000    0.002    0.000 function_base.py:3944(add_newdoc)
     2216    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
      310    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:159(_get_module_lock)
     1948    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
      224    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
      169    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:178(_lock_unlock_module)
      678    0.000    0.000    0.002    0.000 enum.py:265(__call__)
      122    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
        1    0.000    0.000    0.002    0.002 difflib.py:27(<module>)
     2920    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
      308    0.001    0.000    0.002    0.000 enum.py:797(__and__)
      310    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:77(acquire)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
        4    0.000    0.000    0.001    0.000 warnings.py:119(filterwarnings)
     1719    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      100    0.000    0.000    0.001    0.000 {method 'max' of 'numpy.ndarray' objects}
     1433    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:208(_verbose_message)
      131    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:304(__exit__)
      310    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:102(release)
      139    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:57(__init__)
      101    0.000    0.000    0.001    0.000 _methods.py:25(_amax)
      329    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
      141    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:153(__exit__)
        9    0.000    0.000    0.001    0.000 abc.py:132(__new__)
       43    0.000    0.000    0.001    0.000 core.py:113(get_object_signature)
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
        1    0.001    0.001    0.001    0.001 polynomial.py:940(poly1d)
      676    0.001    0.000    0.001    0.000 enum.py:515(__new__)
     2177    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.001    0.001 argparse.py:62(<module>)
      281    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
       26    0.000    0.000    0.001    0.000 core.py:6353(__init__)
        1    0.000    0.000    0.001    0.001 numbers.py:6(<module>)
        2    0.000    0.000    0.001    0.000 enum.py:602(_convert)
       26    0.000    0.000    0.001    0.000 core.py:6358(getdoc)
      224    0.001    0.000    0.001    0.000 {method 'rsplit' of 'str' objects}
      914    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      299    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:402(parent)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:719(create_module)
      100    0.000    0.000    0.001    0.000 linalg.py:139(_commonType)
        9    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
       19    0.000    0.000    0.001    0.000 nosetester.py:511(_numpy_tester)
        2    0.000    0.000    0.001    0.000 enum.py:364(_create_)
      272    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:37(_relax_case)
      514    0.000    0.000    0.001    0.000 sre_parse.py:253(get)
      100    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.ndarray' objects}
      100    0.000    0.000    0.001    0.000 linalg.py:106(_makearray)
        1    0.000    0.000    0.001    0.001 pickle.py:181(<listcomp>)
      517    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:838(__exit__)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
      224    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
       19    0.000    0.000    0.001    0.000 nosetester.py:170(__init__)
      102    0.000    0.000    0.001    0.000 re.py:169(match)
        1    0.000    0.000    0.001    0.001 extras.py:10(<module>)
      238    0.001    0.000    0.001    0.000 {built-in method numpy.core.multiarray.array}
      100    0.000    0.000    0.001    0.000 linalg.py:209(_assertNdSquareness)
       44    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x0000000065508610}
